19,74996,38.5
19,100018,37.9
19,125003,38.3
19,150027,38.7
19,175024,39.6
19,200033,39.4
19,225053,39.4
19,250025,39.4
19,275046,39.7
19,300055,39.5
19,325055,39.5
19,350046,40.9
19,375069,39.6
19,400065,39.6
19,425103,39.6
19,450119,40.0
19,475096,39.8
19,500096,39.9
19,525096,39.7
19,550133,39.8
19,575121,39.9
19,600139,40.3
19,625144,39.8
19,650185,39.9
19,675155,40.4
19,700157,39.8
19,725182,40.4
19,750218,40.0
19,775222,40.2
19,800193,39.9
19,825208,40.6
19,850213,39.9
19,875230,41.4
19,900250,40.0
19,925237,40.0
19,950246,40.0
19,975258,40.0
19,1000259,40.1
19,1025268,40.9
19,1050307,40.1
19,1075286,40.7
19,1100280,40.0
19,1125289,40.1
19,1150296,40.2
19,1175306,40.1
19,1200301,40.1
19,1225314,40.1
19,1250333,40.7
19,1275321,40.2
19,1300338,41.5
19,1325331,40.8
19,1350394,40.7
19,1375357,40.8
19,1400356,40.2
19,1425357,40.2
19,1450362,40.3
19,1475379,40.2
19,1500430,40.3
19,1525399,40.3
19,1550398,40.3
19,1575391,40.3
19,1600398,40.3
19,1625420,40.3
19,1650454,40.4
19,1675414,40.4
19,1700460,41.1
19,1725463,40.3
19,1750459,40.4
19,1775464,40.4
19,1800466,40.4
19,1825466,40.5
19,1850493,40.5
19,1875494,40.5
19,1900484,40.5
19,1925509,40.2
19,1950507,40.2
19,1975495,38.7
19,2000507,38.0
19,2025528,38.3
19,2050508,38.7
19,2075529,38.9
19,2100529,39.7
19,2125539,39.6
19,2150541,40.0
19,2175546,40.3
19,2200555,40.4
19,2225552,40.4
19,2250592,40.4
19,2275581,41.5
19,2300574,40.4
19,2325579,40.5
19,2350576,40.5
19,2375596,40.5
19,2400627,40.5
19,2425586,40.7
19,2450617,40.6
19,2475639,38.6
19,2500654,38.1
19,2525651,38.2
19,2550667,38.3
19,2575643,38.9
19,2600682,38.9
20,74978,33.9
21,74962,30.4
21,99975,29.5
21,124990,29.0
21,149980,28.7
21,175005,28.4
21,200083,29.2
21,225009,28.1
21,250018,28.5
21,275032,29.1
21,300032,28.2
21,325029,28.2
21,350043,28.2
21,375054,28.3
21,400039,28.2
21,425068,28.3
21,450083,28.3
21,475105,28.3
21,500132,28.5
21,525093,28.3
22,74938,28.3
22,99949,28.3
22,124957,28.3
22,149967,28.5
22,174978,28.9
22,199985,28.4
22,224997,28.5
22,250061,29.2
22,274991,28.5
22,300009,28.6
22,325010,28.5
22,350026,28.6
22,375039,28.6
22,400025,28.6
22,425048,28.7
22,450045,28.6
22,475050,28.6
22,500040,28.7
22,525076,28.7
22,550105,28.7
22,575062,29.0
22,600076,28.1
22,625085,27.5
22,650115,27.1
22,675091,26.4
22,700100,25.9
22,725110,25.5
22,750111,26.4
22,775132,24.7
22,800174,24.6
22,825137,24.3
22,850199,23.5
22,875156,23.0
22,900195,22.6
22,925190,22.2
22,950177,21.8
22,975196,17.3
22,1000206,18.2
22,1025210,18.7
22,1050217,19.3
22,1075230,20.0
22,1100235,20.4
22,1125251,21.2
22,1150275,21.6
22,1175256,22.1
22,1200263,21.9
22,1225275,22.0
22,1250286,21.9
22,1275277,21.9
22,1300286,22.3
22,1325291,22.5
22,1350331,22.0
22,1375318,22.1
22,1400333,22.5
22,1425356,22.0
22,1450401,22.1
22,1475364,22.3
22,1500367,22.1
22,1525388,22.2
22,1550398,22.1
22,1575405,22.1
22,1600427,22.7
22,1625421,22.0
22,1650442,22.1
22,1675437,22.1
22,1700474,22.1
22,1725454,22.7
22,1750507,22.2
22,1775505,23.1
22,1800469,22.3
22,1825488,22.2
22,1850498,22.3
22,1875508,22.0
22,1900517,21.5
22,1925535,21.0
22,1950525,20.5
22,1975528,20.2
22,2000552,19.8
22,2025573,20.3
22,2050583,19.1
22,2075554,18.9
22,2100557,18.4
22,2125573,18.0
22,2150576,17.7
22,2175583,17.3
22,2200589,16.9
22,2225595,16.7
22,2250613,16.5
22,2275608,16.2
22,2300607,16.0
22,2325634,15.7
22,2350668,15.5
22,2375651,15.7
22,2400650,15.4
22,2425661,14.6
22,2450668,14.5
22,2475687,14.1
22,2500690,14.1
22,2525689,13.9
22,2550704,13.7
22,2575706,13.5
22,2600726,13.7
22,2625729,13.0
22,2650774,12.8
22,2675739,12.9
22,2700759,12.7
22,2725773,12.2
22,2750766,12.1
22,2775769,11.9
